weight_before,weight_after
215,285.8769771528998
218,288.87697715289977
220,290.8769771528998
222,293.0769771528998
222,292.8769771528998
223,293.87697715289977
225,295.8769771528998
227,297.6769771528998
229,299.27697715289986
230,299.0769771528998
233,301.4769771528998
234,301.47697715289985
237,303.0769771528998
240,305.67697715289984
241,306.0769771528998
242,307.0769771528998
243,307.6769771528998
244,308.27697715289986
245,308.67697715289984
245,308.47697715289985
245,308.0769771528998
245,307.67697715289984
245,307.47697715289985
245,307.0769771528998
216,287.4769771528998
217,288.4769771528998
223,295.6769771528998
229,302.67697715289984
235,309.47697715289985
238,312.87697715289977
244,319.67697715289984
253,329.6769771528998
261,338.67697715289984
269,347.27697715289986
281,360.4769771528998
287,366.8769771528998
292,372.2769771528998
295,375.67697715289984
298,378.87697715289977
302,383.0769771528998
303,384.0769771528998
306,387.0769771528998
307,387.8769771528998
311,391.4769771528998
314,393.8769771528998
316,395.4769771528998
317,396.2769771528998
317,396.0769771528998
317,395.8769771528998
317,395.6769771528998
317,395.4769771528998
317,395.2769771528998
317,395.0769771528998
318,396.0769771528998
320,398.47697715289985
327,406.8769771528998
345,428.2769771528998
366,452.8769771528998
382,471.6769771528998
387,477.4769771528998
389,479.87697715289977
390,481.0769771528998
402,495.4769771528998
412,507.0769771528998
421,517.8769771528998
427,524.8769771528998
429,527.0769771528998
435,534.2769771528998
443,543.6769771528999
457,560.0769771528998
468,572.8769771528998
474,579.6769771528998
475,580.8769771528998
476,582.0769771528998
478,584.4769771528998
481,588.0769771528998
484,591.4769771528997
486,593.6769771528998
488,596.0769771528999
489,597.2769771528998
491,599.4769771528997
495,604.0769771528999
499,608.6769771528998
503,613.2769771528998
504,614.4769771528997
504,614.2769771528998
505,615.4769771528998
506,616.6769771528998
507,617.6769771528998
508,618.6769771528999
509,619.6769771528998
510,620.8769771528998
511,621.6769771528998
512,622.6769771528998
513,623.8769771528998
514,624.8769771528998
516,626.8769771528997
518,628.8769771528998
520,630.8769771528998
520,630.6769771528998
521,631.6769771528998
523,633.6769771528999
524,634.6769771528998
525,635.2769771528998
526,636.2769771528998
527,637.4769771528998
527,637.0769771528998
528,638.0769771528999
530,640.0769771528999
531,641.0769771528998
532,642.0769771528998
533,642.6769771528999
535,644.6769771528998
535,644.2769771528998
535,644.0769771528999
535,643.8769771528998
527,634.2769771528998
518,623.4769771528998
510,613.8769771528998
500,601.8769771528998
498,599.4769771528998
496,596.8769771528997
495,595.6769771528998
493,593.0769771528999
492,591.8769771528998
490,589.4769771528998
489,588.2769771528998
487,585.8769771528998
483,580.8769771528998
479,575.6769771528998
476,572.0769771528998
473,568.0769771528999
468,562.0769771528999
462,554.6769771528998
458,549.6769771528999
453,543.4769771528998
447,536.0769771528998
442,529.8769771528998
438,524.8769771528998
432,517.4769771528998
429,513.4769771528997
423,506.2769771528998
418,500.0769771528998
415,496.2769771528998
414,495.07697715289976
416,497.4769771528998
423,505.87697715289977
427,510.6769771528998
431,515.0769771528998
437,522.0769771528998
443,528.8769771528998
449,535.6769771528998
454,541.4769771528997
459,547.0769771528998
464,552.8769771528998
469,558.4769771528997
471,560.8769771528997
476,566.6769771528998
483,574.2769771528998
488,580.0769771528999
497,590.4769771528998
503,597.2769771528998
508,603.0769771528999
511,606.4769771528997
514,610.0769771528998
518,614.6769771528999
522,619.2769771528998
525,622.8769771528998
527,625.2769771528998
529,627.4769771528997
448,536.8769771528998
454,543.4769771528997
456,545.6769771528998
456,545.4769771528997
457,546.4769771528998
459,548.8769771528998
461,550.8769771528997
462,552.0769771528998
463,553.0769771528999
465,555.2769771528998
465,555.4769771528998
465,555.8769771528998
465,556.4769771528998
465,557.2769771528998
465,557.6769771528998
465,558.4769771528998
465,559.0769771528999
465,559.4769771528998
465,559.8769771528998
466,561.0769771528998
467,562.2769771528998
468,563.4769771528998
469,564.4769771528997
471,566.6769771528998
471,566.2769771528998
472,566.8769771528998
474,568.6769771528998
475,569.4769771528998
476,570.2769771528998
477,571.0769771528998
478,572.0769771528999
478,571.8769771528998
480,573.6769771528998
482,575.8769771528998
483,576.8769771528998
484,578.0769771528998
487,581.8769771528998
490,586.2769771528998
494,592.2769771528998
494,592.4769771528997
496,595.4769771528997
497,596.8769771528998
498,598.2769771528998
499,599.6769771528998
502,603.0769771528998
505,605.4769771528998
507,606.8769771528998
509,608.4769771528997
509,608.2769771528998
510,609.4769771528998
511,610.6769771528998
513,613.0769771528999
515,615.4769771528998
515,615.6769771528998
518,619.6769771528999
519,621.6769771528998
521,624.2769771528998
521,624.4769771528997
524,628.4769771528997
525,629.8769771528998
525,630.2769771528998
527,633.0769771528998
528,634.8769771528998
529,636.0769771528998
464,552.8769771528998
464,553.2769771528998
465,554.8769771528998
466,556.2769771528998
468,559.2769771528998
470,562.0769771528999
471,563.4769771528997
472,564.8769771528998
473,566.0769771528999
474,567.2769771528998
475,568.2769771528998
476,569.0769771528998
477,570.0769771528998
478,570.8769771528998
480,572.2769771528998
480,572.0769771528999
480,571.8769771528998
480,571.6769771528998
480,571.2769771528998
481,572.4769771528997
481,572.2769771528998
482,573.4769771528998
483,574.6769771528999
488,581.0769771528999
491,585.2769771528998
493,587.8769771528998
494,589.2769771528998
494,589.4769771528997
496,591.8769771528997
497,593.2769771528998
499,595.6769771528998
500,596.8769771528998
502,599.2769771528998
503,600.4769771528998
504,601.2769771528998
506,602.8769771528997
506,602.0769771528998
506,601.6769771528998
506,601.4769771528997
506,601.0769771528998
507,602.2769771528998
508,603.4769771528998
510,606.2769771528998
512,609.0769771528998
514,611.8769771528998
515,613.2769771528998
516,614.4769771528997
518,617.0769771528999
519,618.2769771528998
520,619.6769771528998
521,620.8769771528997
522,622.0769771528998
523,623.2769771528998
524,624.4769771528997
525,625.6769771528998
526,626.6769771528998
527,627.2769771528998
528,627.4769771528998
528,627.0769771528999
528,626.8769771528998
529,627.2769771528998
528,625.4769771528998
527,623.8769771528998
525,620.8769771528998
524,619.2769771528998
523,617.8769771528998
522,616.2769771528998
520,613.6769771528998
515,607.0769771528999
511,601.8769771528997
508,598.0769771528999
504,593.0769771528998
501,589.2769771528998
499,586.6769771528998
496,582.8769771528997
495,581.6769771528998
492,578.0769771528998
490,575.4769771528998
486,570.6769771528998
482,565.8769771528998
480,563.4769771528998
478,561.0769771528999
475,557.2769771528998
474,556.0769771528998
472,553.6769771528998
469,550.0769771528998
463,542.8769771528998
457,535.6769771528998
451,528.4769771528997
447,523.6769771528998
444,520.0769771528998
439,514.0769771528998
436,510.47697715289974
427,499.6769771528998
422,493.6769771528998
417,487.6769771528998
412,481.6769771528998
411,480.4769771528998
407,475.6769771528998
399,466.07697715289976
389,454.07697715289976
383,446.87697715289977
378,440.87697715289977
377,439.6769771528998
371,432.4769771528998
366,426.4769771528998
360,419.2769771528998
355,413.2769771528998
351,408.4769771528998
348,404.6769771528998
344,399.8769771528998
340,395.0769771528998
333,386.6769771528998
326,378.2769771528998
317,367.4769771528998
309,357.8769771528998
305,353.0769771528998
301,348.2769771528998
296,342.4769771528998
288,333.0769771528998
282,326.0769771528998
279,322.67697715289984
278,321.4769771528998
277,320.2769771528998
276,319.0769771528998
274,316.67697715289984
273,315.4769771528998
272,314.2769771528998
270,311.8769771528998
269,310.67697715289984
267,308.4769771528998
264,304.8769771528998
262,302.4769771528998
261,301.2769771528998
259,298.8769771528998
258,297.87697715289977
257,296.6769771528998
256,295.4769771528998
255,294.2769771528998
253,291.87697715289977
252,290.8769771528998
250,288.47697715289985
249,287.27697715289986
247,284.8769771528998
246,283.67697715289984
245,282.47697715289985
243,280.2769771528998
241,277.8769771528998
238,274.2769771528998
237,273.0769771528998
236,271.8769771528998
235,270.67697715289984
234,269.47697715289985
232,267.2769771528998
231,266.0769771528998
229,263.8769771528998
228,262.6769771528998
227,261.4769771528998
226,260.4769771528998
224,258.27697715289986
223,257.0769771528998
222,255.8769771528998
218,251.2769771528998
217,250.2769771528998
213,245.6769771528998
210,242.27697715289983
209,241.2769771528998
207,238.8769771528998
205,236.67697715289984
203,234.27697715289983
202,233.07697715289981
199,229.47697715289982
197,227.2769771528998
195,224.87697715289983
193,222.47697715289982
190,219.07697715289981
186,214.47697715289982
183,210.87697715289983
179,206.2769771528998
175,201.47697715289982
173,199.07697715289981
169,194.6769771528998
163,187.6769771528998
158,182.07697715289981
153,176.47697715289982
150,172.87697715289983
148,170.6769771528998
147,169.47697715289982
143,165.07697715289981
141,162.6769771528998
139,160.2769771528998
137,158.07697715289984
136,156.87697715289983
135,155.67697715289984
134,154.47697715289982
125,141.87697715289983
114,126.07697715289981
105,114.07697715289983
92,96.47697715289982
81,81.67697715289982
76,74.87697715289983
72,69.47697715289982
70,66.47697715289982
68,63.87697715289982
67,62.47697715289982
65,59.876977152899826
65,60.47697715289983
66,63.27697715289983
66,65.67697715289982
66,68.67697715289982
66,73.67697715289982
66,77.47697715289983
66,80.87697715289983
66,84.67697715289982
66,88.07697715289983
66,91.07697715289983
66,95.27697715289983
66,97.47697715289982
66,98.27697715289983
67,100.67697715289981
68,103.07697715289981
68,103.67697715289982
70,106.47697715289982
70,106.67697715289982
71,107.67697715289984
79,115.67697715289982
81,117.67697715289984
85,121.07697715289983
90,125.47697715289982
96,131.2769771528998
104,138.87697715289983
110,144.47697715289982
117,151.67697715289984
120,154.67697715289984
122,156.67697715289984
123,157.87697715289983
126,161.07697715289981
128,163.27697715289983
130,165.27697715289983
132,167.27697715289983
137,172.47697715289982
138,173.47697715289982
139,174.47697715289982
141,177.07697715289981
154,193.2769771528998
176,220.6769771528998
196,245.87697715289983
207,259.6769771528998
209,262.2769771528998
210,263.47697715289985
213,267.2769771528998
217,272.0769771528998
226,283.67697715289984
229,287.47697715289985
231,290.0769771528998
234,293.67697715289984
238,298.6769771528998
246,308.4769771528998
249,312.0769771528998
250,313.47697715289985
251,314.67697715289984
253,317.0769771528998
254,318.27697715289986
256,320.8769771528998
263,313.0769771528998
258,306.6769771528998
256,303.67697715289984
252,297.2769771528998
249,292.67697715289984
244,285.27697715289986
240,279.47697715289985
236,273.4769771528998
231,266.4769771528998
228,262.2769771528998
225,257.8769771528998
222,253.8769771528998
221,252.47697715289982
221,252.2769771528998
218,247.8769771528998
216,245.07697715289981
214,242.27697715289983
212,239.2769771528998
209,234.8769771528998
208,233.6769771528998
208,233.47697715289982
209,234.6769771528998
216,243.07697715289981
220,247.87697715289983
226,255.47697715289982
232,263.2769771528998
248,283.4769771528998
260,299.0769771528998
276,319.0769771528998
280,324.0769771528998
285,330.67697715289984
297,346.4769771528998
306,358.0769771528998
311,364.67697715289984
318,373.87697715289977
323,380.87697715289977
326,384.8769771528998
328,387.4769771528998
329,388.8769771528998
375,456.2769771528998
376,457.4769771528998
385,468.2769771528998
390,474.2769771528998
394,479.2769771528998
398,484.0769771528998
402,488.8769771528998
404,491.2769771528998
407,494.8769771528998
407,494.6769771528998
407,494.0769771528998
405,490.8769771528998
404,489.6769771528998
404,489.4769771528998
404,489.2769771528998
403,487.87697715289977
402,486.6769771528998
401,485.2769771528998
400,484.0769771528998
399,482.87697715289977
398,481.2769771528998
397,480.0769771528998
392,474.4769771528998
389,471.4769771528998
387,469.0769771528998
385,466.8769771528998
382,463.4769771528998
381,462.4769771528998
379,460.27697715289986
378,459.0769771528998
377,458.2769771528998
376,457.0769771528998
